"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"607","5th International Yoga Day in Haiti https://t.co/QG4iiyU1Qz",FALSE,1,NA,2019-06-23 16:45:13,FALSE,NA,"1142836015507431424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shivlal32595202",0,FALSE,FALSE,NA,NA
"608","RT @tsheringtobgay: With Tashi, celebrating International Day of Yoga with some simple asanas. Many thanks to @nwccbhutan and Yoga Guru KVS…",FALSE,0,NA,2019-06-23 16:44:42,FALSE,NA,"1142835883541876736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sansarchandra3",1665,TRUE,FALSE,NA,NA
"609","Dear @poonam_mahajan @ShelarAshish since last 2 days timing to access Bandra Reclamation is shortened by 30 minutes… https://t.co/LeH8pVuZd0",FALSE,0,NA,2019-06-23 16:43:32,TRUE,NA,"1142835590833926145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","krajat001",1,FALSE,FALSE,NA,NA
"610","RT @SatlokChannel: #InternationalDayofYoga #YogaDay2019 #<U+092F><U+094B><U+0917><U+0926><U+093F><U+0935><U+0938> https://t.co/7GtLw1rySK",FALSE,0,NA,2019-06-23 16:43:01,FALSE,NA,"1142835463197097985",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ajay15406518",1483,TRUE,FALSE,NA,NA
"611","RT @SACHKAHOON: <U+0921><U+0947><U+0930><U+093E> <U+0938><U+091A><U+094D><U+091A><U+093E> <U+0938><U+094C><U+0926><U+093E> <U+0928><U+0947> <U+0926><U+093F><U+092F><U+093E> <U+0938><U+094D><U+0935><U+0938><U+094D><U+0925> <U+091C><U+0940><U+0935><U+0928> <U+0915><U+093E> <U+0938><U+0902><U+0926><U+0947><U+0936> - 
#International #yoga #day
https://t.co/8xGpJO5eiM",FALSE,0,NA,2019-06-23 16:42:48,FALSE,NA,"1142835406242639874",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","InsaPrithvi",217,TRUE,FALSE,NA,NA
"612","RT @tsheringtobgay: With Tashi, celebrating International Day of Yoga with some simple asanas. Many thanks to @nwccbhutan and Yoga Guru KVS…",FALSE,0,NA,2019-06-23 16:42:35,FALSE,NA,"1142835353125916672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheAshish_Garg",1665,TRUE,FALSE,NA,NA
"613","RT @rekhakhunteta: Celebration of international day of yoga. In republic of Fiji islands.  @SriSri @ArtofLiving https://t.co/zKbMMKlKWd",FALSE,0,NA,2019-06-23 16:42:35,FALSE,NA,"1142835352157270016",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","p296",4,TRUE,FALSE,NA,NA
"614","RT @tsheringtobgay: With Tashi, celebrating International Day of Yoga with some simple asanas. Many thanks to @nwccbhutan and Yoga Guru KVS…",FALSE,0,NA,2019-06-23 16:42:33,FALSE,NA,"1142835345664299008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Chetan5169",1665,TRUE,FALSE,NA,NA
"615","RT @OpIndia_com: Activist files complaint against Rahul Gandhi for his International Yoga Day tweet where he insulted the Indian Army
https…",FALSE,0,NA,2019-06-23 16:42:29,FALSE,NA,"1142835328300044291",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","orionpax21153",37,TRUE,FALSE,NA,NA
"616","RT @News18India: <U+0906><U+091C><U+092E><U+0917><U+0922><U+093C> <U+092E><U+0947><U+0902> <U+092E><U+0941><U+091D><U+0938><U+0947> <U+0909><U+0932><U+091D><U+0915><U+0930> <U+0930><U+0939> <U+0917><U+090F> <U+0905><U+0916><U+093F><U+0932><U+0947><U+0936> <U+0907><U+0938><U+0932><U+093F><U+090F> <U+0939><U+093E><U+0930> <U+0917><U+090F> UP <U+0915><U+0940> <U+092C><U+093E><U+0915><U+0940> <U+0938><U+0940><U+091F><U+0947><U+0902>
@yadavakhilesh @nirahua1
https://t.co/tH84IuSUrL",FALSE,0,NA,2019-06-23 16:41:26,FALSE,NA,"1142835064054566913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RaviSha37032395",98,TRUE,FALSE,NA,NA
